Pos,Team,PTS,Year
1,Vanwall,48,1958 Constructor Standings
2,Ferrari,40,1958 Constructor Standings
3,Cooper Climax,31,1958 Constructor Standings
4,BRM,18,1958 Constructor Standings
5,Maserati,6,1958 Constructor Standings
6,Lotus Climax,3,1958 Constructor Standings
1,Cooper Climax,40,1959 Constructor Standings
2,Ferrari,32,1959 Constructor Standings
3,BRM,18,1959 Constructor Standings
4,Lotus Climax,5,1959 Constructor Standings
1,Cooper Climax,48,1960 Constructor Standings
2,Lotus Climax,34,1960 Constructor Standings
3,Ferrari,26,1960 Constructor Standings
4,BRM,8,1960 Constructor Standings
5,Cooper Maserati,3,1960 Constructor Standings
6,Cooper Castellotti,3,1960 Constructor Standings
1,Ferrari,40,1961 Constructor Standings
2,Lotus Climax,32,1961 Constructor Standings
3,Porsche,22,1961 Constructor Standings
4,Cooper Climax,14,1961 Constructor Standings
5,BRM Climax,7,1961 Constructor Standings
1,BRM,42,1962 Constructor Standings
2,Lotus Climax,36,1962 Constructor Standings
3,Cooper Climax,29,1962 Constructor Standings
4,Lola Climax,19,1962 Constructor Standings
5,Porsche,18,1962 Constructor Standings
6,Ferrari,18,1962 Constructor Standings
7,Brabham Climax,6,1962 Constructor Standings
8,Lotus BRM,1,1962 Constructor Standings
1,Lotus Climax,54,1963 Constructor Standings
2,BRM,36,1963 Constructor Standings
3,Brabham Climax,28,1963 Constructor Standings
4,Ferrari,26,1963 Constructor Standings
5,Cooper Climax,25,1963 Constructor Standings
6,BRP BRM,6,1963 Constructor Standings
7,Porsche,5,1963 Constructor Standings
8,Lotus BRM,4,1963 Constructor Standings
1,Ferrari,45,1964 Constructor Standings
2,BRM,42,1964 Constructor Standings
3,Lotus Climax,37,1964 Constructor Standings
4,Brabham Climax,30,1964 Constructor Standings
5,Cooper Climax,16,1964 Constructor Standings
6,Brabham BRM,7,1964 Constructor Standings
7,BRP BRM,5,1964 Constructor Standings
8,Lotus BRM,3,1964 Constructor Standings
1,Lotus Climax,54,1965 Constructor Standings
2,BRM,45,1965 Constructor Standings
3,Brabham Climax,27,1965 Constructor Standings
4,Ferrari,26,1965 Constructor Standings
5,Cooper Climax,14,1965 Constructor Standings
6,Honda,11,1965 Constructor Standings
7,Brabham BRM,5,1965 Constructor Standings
8,Lotus BRM,2,1965 Constructor Standings
1,Brabham Repco,42,1966 Constructor Standings
2,Ferrari,31,1966 Constructor Standings
3,Cooper Maserati,30,1966 Constructor Standings
4,BRM,22,1966 Constructor Standings
5,Lotus BRM,13,1966 Constructor Standings
6,Lotus Climax,8,1966 Constructor Standings
7,Eagle Climax,4,1966 Constructor Standings
8,Honda,3,1966 Constructor Standings
9,McLaren Ford,2,1966 Constructor Standings
10,Brabham BRM,1,1966 Constructor Standings
11,McLaren Serenissima,1,1966 Constructor Standings
12,Brabham Climax,1,1966 Constructor Standings
1,Brabham Repco,63,1967 Constructor Standings
2,Lotus Ford,44,1967 Constructor Standings
3,Cooper Maserati,28,1967 Constructor Standings
4,Honda,20,1967 Constructor Standings
5,Ferrari,20,1967 Constructor Standings
6,BRM,17,1967 Constructor Standings
7,Eagle Weslake,13,1967 Constructor Standings
8,Cooper Climax,6,1967 Constructor Standings
9,Lotus BRM,6,1967 Constructor Standings
10,McLaren BRM,3,1967 Constructor Standings
11,Brabham Climax,2,1967 Constructor Standings
1,Lotus Ford,62,1968 Constructor Standings
2,McLaren Ford,49,1968 Constructor Standings
3,Matra Ford,45,1968 Constructor Standings
4,Ferrari,32,1968 Constructor Standings
5,BRM,28,1968 Constructor Standings
6,Honda,14,1968 Constructor Standings
7,Cooper BRM,14,1968 Constructor Standings
8,Brabham Repco,10,1968 Constructor Standings
9,Matra,8,1968 Constructor Standings
10,Mclaren BRM,3,1968 Constructor Standings
1,Matra Ford,66,1969 Constructor Standings
2,Brabham Ford,49,1969 Constructor Standings
3,Lotus Ford,47,1969 Constructor Standings
4,McLaren Ford,38,1969 Constructor Standings
5,Ferrari,7,1969 Constructor Standings
6,BRM,7,1969 Constructor Standings
1,Lotus Ford,59,1970 Constructor Standings
